Shot,BES Start Time (ms),BES Stop Time (ms),Confinement Start Time (ms),Confinement Stop Time (ms),Logbook,L,H,QH,WP,Test only,LH transition,HL back-transition,QH-WP transition,WP-QH transition
159605,900,5518.5,2000,3500,,,,1,,,,,,
160026,900,3635,2000,2400,,,,1,,,,,,
160054,900,4470,2000,3000,,,,1,,,,,,
160055,900,4994,2000,3500,,,,1,,,,,,
160057,900,4061.5,2000,2500,,,,1,,,,,,
160058,900,4719.5,2000,3000,,,,1,,,,,,
160060,900,4648,2000,2600,,,,1,,,,,,
160061,900,4625.5,2500,3500,,,,1,,,,,,
160062,900,4149,2000,2500,,,,1,,,,,,
160068,900,4294,1700,2100,,,,1,,,,,,
160073,900,4227,2000,3000,,,,1,,,,,,
160086,900,3337,2000,2500,,,,1,,,,,,
160777,700,5357,2000,3000,,,,1,,,,,,
160778,700,5387.5,1800,3000,,,,1,,,,,,
160781,700,5373,1800,3500,,,,1,,,,,,
160785,700,5377,1800,2500,,,,1,,,,,,
160791,700,5394,2000,3000,,,,1,,,,,,
161320,500,5642.5,2000,4000,,,,1,,,,,,
161329,500,5475.5,1820,4000,,,,1,,,,,,
161364,500,5642.5,2500,4000,,,,1,,,,,,
161376,900,5475,2600,4500,,,,1,,,,,,
161608,500,6148.5,692,1176,,1,,,,,,,,
161608,500,6148.5,3741,5461,,,,,1,,,,,
162905,200,5867,707,1260,,1,,,,,,,,
163456,400,5018.5,1500,2500,,,,1,,,,,,
163458,500,5365.5,2000,4000,very good QH,,,1,,,,,,
163460,500,5046,1500,2500,,,,1,,,,,,
163461,500,5002,1500,2500,,,,1,,,,,,
163464,500,5367,1500,2500,,,,1,,,,,,
163465,500,5364,1500,2500,,,,1,,,,,,
163466,500,5360,1500,2500,,,,1,,,,,,
163469,500,5362,1500,2400,,,,1,,,,,,
163478,500,5359.5,1200,2400,,,,1,,,,,,
163482,500,5228.5,1500,2000,,,,1,,,,,,
163498,500,5371,1500,2750,,,,1,,,,,,
163500,600,5367,1250,2500,,,,1,,,,,,
163502,600,5366,1250,2100,,,,1,,,,,,
163503,600,5362,1500,1700,,,,1,,,,,,
163505,,,1650,2478,,,,1,,,,,2478,
163505,,,2478,3130.175,,,,,1,,,,,
163505,,,3140.259,3167.175,,,,,1,,,,,
163505,,,3180.261,3200.959,,,,,1,,,,,
163505,,,3220.256,3234.461,,,,,1,,,,,
163505,,,3260.257,3271.199,,,,,1,,,,,
163505,,,3300.259,3317.679,,,,,1,,,,,
163505,,,3340.258,3363.958,,,,,1,,,,,
163505,,,3380.26,3410.175,,,,,1,,,,,
163505,,,3420.259,4783,,,,,1,,,,,
163508,,,1600,2340,,,,1,,,,,2340,
163508,,,2340,3130.174,,,,,1,,,,,
163508,,,3140.258,3167.181,,,,,1,,,,,
163508,,,3180.258,3200.96,,,,,1,,,,,
163508,,,3220.259,3234.46,,,,,1,,,,,
163508,,,3260.256,3271.187,,,,,1,,,,,
163508,,,3300.258,3317.703,,,,,1,,,,,
163508,,,3340.258,3363.959,,,,,1,,,,,
163508,,,3380.258,3390.46,,,,,1,,,,,
163508,,,3400.494,4049,,,,,1,,,,,
163509,600,5362,1500,1700,,,,1,,,,,,
163512,,,1600,2486,,,,1,,,,,2486,
163512,,,2486,3058.756,,,,,1,,,,,
163512,,,3069.258,3130.176,,,,,1,,,,,
163512,,,3140.26,3167.458,,,,,1,,,,,
163512,,,3180.259,3200.959,,,,,1,,,,,
163512,,,3220.259,3234.674,,,,,1,,,,,
163512,,,3260.257,3271.174,,,,,1,,,,,
163512,,,3300.257,3317.2,,,,,1,,,,,
163512,,,3340.258,3362.959,,,,,1,,,,,
163512,,,3380.258,3388.96,,,,,1,,,,,
163512,,,3400.259,4539,,,,,1,,,,,
163518,,,1300,2486,,,,1,,,,,2486,
163518,,,2486,4700,,,,,1,,,,,
164793,500,6167,1169,1609,,1,,,,,1609,,,
164793,500,6167,1609,3093,,,1,,,,,,,
164798,1000,4642.5,1169,1713,,1,,,,,1713,,,
164798,1000,4642.5,1713,3006,,,1,,,,,,,
164869,500,5200,1300,2300,,,,1,,,,,,
164870,500,5363.5,1400,4500,,,,1,,,,,,
164872,500,4524.5,1500,2250,,,,1,,,,,,
164879,,,2000,2577,,,,1,,,,,2577,
164879,,,2577,4887,,,,,1,,,,,
164880,,,2000,2668,,,,1,,,,,2668,
164880,,,2668,4907,,,,,1,,,,,
164882,500,5108,1250,1750,,,,1,,,,,,
164884,,,2000,2904,,,,1,,,,,2904,
164884,,,2904,4887,,,,,1,,,,,
164901,,,2001,2811,,,,1,,,,,2811,
164901,,,2811,4814,,,,,1,,,,,
164903,500,5350.5,1250,1850,,,,1,,,,,,
165107,500,6167,1466,1904,,1,,,,,1904,,,
165107,,,1904,3104,,,1,,,,,,,
165113,500,4629.5,1520,1899,,1,,,,,1899,,,
165113,,,1899,3103,,,1,,,,,,,
165721,400,5542.5,2000,4500,,,,1,,,,,,
165726,200,5342.5,2250,3250,,,,1,,,,,,
165726,200,5342.5,3750,5000,,,,1,,,,,,
166609,600,5742.5,738,3285,,1,,,,,3285,,,
166609,,,3285,4964,,,1,,,,,,,
167587,,,2100,2400,,,,1,,,,,,
167588,,,3000,4800,,,,1,,,,,,
167589,,,1800,3739.167,,,,1,,,,,,
167589,,,3750.717,3777.367,,,,1,,,,,,
167589,,,3789.04,3804.266,,,,1,,,,,,
167589,,,3815.933,4101.367,,,,1,,,,,,
167603,1200,6280,3500,4000,,,,1,,,,,,
169332,700,2942,1700,2400,,,,1,,,,,,
169344,700,5316.5,2500,4500,,,,1,,,,,,
169350,700,3340,2000,2500,,,,1,,,,,,
169366,700,5367,1400,3400,,,,1,,,,,,
169367,700,5360.5,1250,1600,,,,1,,,,,,
169369,700,5360,1250,2400,,,,1,,,,,,
169369,700,5360,2550,3600,,,,,1,,,,,
169370,700,5363,2535,3875,,,,,1,,,,,
169371,700,4965.5,2370,3391,,,,,1,,,,,
169372,700,5355,1500,2100,,,,1,,,,,,
169372,700,5355,2654,4409,,,,,1,,,,,
169373,,,1600,2175,,,,1,,,,,2175,
169373,700,4603,2175,2720,,,,,1,,,,,
169379,700,5358,1000,1135,,1,,,,,,,,
169379,700,5358,1250,1650,,,,1,,,,,,
169379,700,5358,2396,4500,,,,,1,,,,,
169383,700,5364,1850,2500,,,,1,,,,,,
169383,700,5364,2569,3860,,,,,1,,,,,
169385,700,5362,1400,2000,,,,1,,,,,,
169385,700,5362,2303,3757,,,,,1,,,,2177,
169385,,,3000,3750,,,,,1,,,,,
169387,700,5357.5,2522,4190,,,,,1,,,,,
169389,700,4946,1500,1800,,,,1,,,,,,
169391,700,4972.5,1700,2500,,,,1,,,,,,
169391,700,4972.5,3000,3617,,,,,1,,,,,
169845,300,5360.5,1300,4250,beautiful,,,1,,,,,,
169848,300,4024,1302,1664,,,,,1,,,,,
169849,300,5358.5,1250,1500,,,,1,,,,,,
169849,300,5358.5,3010,4524,,,,,1,,,,,
169850,300,3625,1100,2122,,,,1,,,,,2122,
169850,300,3625,2122,2931,,,,,1,,,,,
169851,300,5358,1500,2080,,,,1,,,,,2080,
169851,300,5358,2080,4407,,,,,1,,,,,
169858,,,1140,1345,,,,1,,,,,1345,
169858,300,5356,1345,1710,,,,,1,,,,,
169859,,,1125,1360,,,,1,,,,,1360,
169859,300,5359.5,1360,4507,,,,,1,,,,,
169865,,,1312,1400,,,,1,,,,,1400,
169865,300,5363,1400,1664,,,,,1,,,,,
169869,,,1312,1390,,,,1,,,,,1390,
169869,300,5356,1390,4481,,,,,1,,,,,
169873,,,1314,1425,,,,1,,,,,1425,
169873,300,5356,1425,4493,,,,,1,,,,,
169875,300,5361,1136,1753,,,,,1,,,,,
169877,,,1315,1400,,,,1,,,,,1400,
169877,300,5356.5,1400,3007,,,,,1,,,,,
170012,200,4935,2600,3200,,,,,1,,,,,
170015,200,4014.5,495,953,,1,,,,,,,,
170015,200,4014.5,2700,2900,,,,,1,,,,,
170021,200,4462,468,926,,1,,,,,,,,
170021,200,4462,2650,3300,,,,,1,,,,,
170063,,,300.053,1220,,1,,,,,,,,
170085,,,310.842,1174,,1,,,,,1205,,,
170086,,,300.05,1308,,1,,,,,,,,
170430,,,300.138,1157,,1,,,,,,,,
170433,,,300.138,1023,,1,,,,,1064,,,
170433,,,1064,1934,,,1,,,,,,,
171438,,,4838,5466,,,1,,,,,,,
171469,,,813,1272,,1,,,,,1272,,,
171469,,,1272,4745,,,1,,,,,,,
171470,,,1200.076,1210.051,,1,,,,,,,,
171470,,,1220.116,1230.049,,1,,,,,,,,
171470,,,1240.116,1250.052,,1,,,,,,,,
171470,,,1260.107,1270.049,,1,,,,,,,,
171470,,,1280.113,1290.049,,1,,,,,,,,
171470,,,1300.089,1310.054,,1,,,,,,,,
171470,,,1320.126,1330.052,,1,,,,,,,,
171470,,,1340.134,1350.053,,1,,,,,,,,
171470,,,1360.103,1370.05,,1,,,,,,,,
171470,,,1380.113,1390.048,,1,,,,,,,,
171470,,,1400.092,1410.052,,1,,,,,,,,
171470,,,1420.133,1430.053,,1,,,,,,,,
171470,,,1440.137,1450.057,,1,,,,,,,,
171470,,,1460.104,1470.05,,1,,,,,,,,
171470,,,1480.111,1490.049,,1,,,,,,,,
171470,,,1500.095,1510.051,,1,,,,,,,,
171470,,,1520.14,1530.054,,1,,,,,,,,
171470,,,1540.13,1550.053,,1,,,,,,,,
171470,,,1560.107,1570.051,,1,,,,,,,,
171470,,,1580.11,1590.049,,1,,,,,,,,
171470,,,1600.083,1610.051,,1,,,,,,,,
171470,,,1620.124,1630.052,,1,,,,,,,,
171470,,,1640.09,1650.053,,1,,,,,,,,
171470,,,1660.111,1670.049,,1,,,,,,,,
171470,,,1680.143,1690.048,,1,,,,,,,,
171470,,,1700.101,1710.051,,1,,,,,,,,
171470,,,1720.097,1730.053,,1,,,,,,,,
171470,,,1740.135,1750.05,,1,,,,,,,,
171470,,,1760.091,1770.051,,1,,,,,,,,
171470,,,1780.109,1790.049,,1,,,,,,,,
171470,,,1800.078,1810.05,,1,,,,,,,,
171470,,,1820.141,1830.053,,1,,,,,,,,
171470,,,1840.102,1850.056,,1,,,,,,,,
171470,,,1860.103,1870.051,,1,,,,,,,,
171470,,,1880.124,1890.048,,1,,,,,,,,
171470,,,1900.108,1910.051,,1,,,,,,,,
171470,,,1920.092,1930.053,,1,,,,,,,,
171470,,,1940.138,1950.054,,1,,,,,,,,
171470,,,1960.084,1970.049,,1,,,,,,,,
171470,,,1980.107,1990.048,,1,,,,,,,,
171470,,,2000.084,2010.05,,1,,,,,,,,
171470,,,2020.094,2030.053,,1,,,,,,,,
171470,,,2040.104,2050.053,,1,,,,,,,,
171470,,,2060.081,2070.054,,1,,,,,,,,
171470,,,2080.123,2090.049,,1,,,,,,,,
171470,,,2100.083,2110.051,,1,,,,,,,,
171470,,,2120.089,2130.052,,1,,,,,,,,
171470,,,2140.109,2150.053,,1,,,,,,,,
171470,,,2160.08,2170.052,,1,,,,,,,,
171470,,,2180.121,2190.051,,1,,,,,,,,
171470,,,2200.08,2210.05,,1,,,,,,,,
171470,,,2220.096,2230.053,,1,,,,,,,,
171470,,,2240.098,2250.054,,1,,,,,,,,
171470,,,2260.08,2270.052,,1,,,,,,,,
171470,,,2280.124,2290.048,,1,,,,,,,,
171470,,,2300.092,2310.049,,1,,,,,,,,
171470,,,2320.097,2330.052,,1,,,,,,,,
171470,,,2340.112,2350.054,,1,,,,,,,,
171470,,,2360.083,2370.052,,1,,,,,,,,
171470,,,2380.126,2390.049,,1,,,,,,,,
171470,,,2400.083,2410.049,,1,,,,,,,,
171470,,,2420.11,2430.053,,1,,,,,,,,
171470,,,2440.107,2450.054,,1,,,,,,,,
171470,,,2460.082,2470.053,,1,,,,,,,,
171470,,,2480.125,2490.049,,1,,,,,,,,
171470,,,2500.083,2510.05,,1,,,,,,,,
171470,,,2520.107,2530.052,,1,,,,,,,,
171470,,,2540.128,2550.054,,1,,,,,,,,
171470,,,2560.08,2570.054,,1,,,,,,,,
171470,,,2580.128,2590.048,,1,,,,,,,,
171470,,,2600.083,2610.052,,1,,,,,,,,
171470,,,2620.114,2630.052,,1,,,,,,,,
171470,,,2640.126,2650.055,,1,,,,,,,,
171470,,,2660.079,2670.053,,1,,,,,,,,
171470,,,2680.123,2690.052,,1,,,,,,,,
171470,,,2700.084,2710.049,,1,,,,,,,,
171470,,,2720.11,2730.051,,1,,,,,,,,
171470,,,2740.122,2750.054,,1,,,,,,,,
171470,,,2760.081,2770.054,,1,,,,,,,,
171470,,,2780.128,2790.05,,1,,,,,,,,
171470,,,2800.081,2810.049,,1,,,,,,,,
171470,,,2820.108,2830.052,,1,,,,,,,,
171470,,,2840.115,2850.054,,1,,,,,,,,
171470,,,2860.081,2870,,1,,,,,,,,
171471,,,1200.156,2849,,1,,,,,2849,,,
171471,,,2849,3698,,,1,,,,,,,
171471,,,4275,4838,,1,,,,,4838,,,
171472,,,1200.141,2254,,1,,,,,2254,,,
171472,,,2254,3243,,,1,,,,,3243,,
171472,,,3243,3693,,1,,,,,,,,
171472,,,3243,3685,,1,,,,,,,,
171472,,,4348,5287,,1,,,,,5287,,,
171473,,,1216,2525,,1,,,,,2525,,,
171473,,,2525,3476,,,1,,,,,3476,,
171473,,,3476,3590,,1,,,,,,,,
171474,,,1216,2621,,1,,,,,2621,,,
171474,,,2621,3412,,,1,,,,,3412,,
171474,,,3412,3685,,1,,,,,,,,
171475,,,1221,1622,,1,,,,,1622,,,
171475,,,1622,2405,,,1,,,,,2405,,
171475,,,2405,2668,,1,,,,,,,,
171565,,,1000.073,1280,,1,,,,,1280,,,
171565,,,1280,2667,,,1,,,,,,,
172211,,,1500,2030,,,,1,,,,,,
172212,,,1451,4000,,,,1,,,,,,
172214,100,5356,1500,3500,,,,1,,,,,,
172222,100,4995.5,1700,3250,,,,1,,,,,,
172223,100,5347.5,1500,3000,,,,1,,,,,,
172224,100,5346.5,1500,3500,,,,1,,,,,,
174618,600,5362.21,1500,3256,,,,,1,,,,,
174619,600,5361.215,1601,2844,,,,,1,,,,1575,
174621,600,5146.205,1837,2653,,,,,1,,,,1600,
174631,600,4836.71,1800,2050,,,,1,,,,,,
174634,600,4302.215,1700,3000,,,,1,,,,,,
174635,600,4104.715,2000,2500,,,,1,,,,,,
174636,600,3684.21,2000,3000,,,,1,,,,,,
174653,600,5357.21,792,953,,1,,,,,,,,
174653,600,5357.21,2250,4130,,,,1,,,,,4130,
174653,,,4130,4320,,,,,1,,,,,4320
174653,,,4320,4363,,,,1,,,,,4363,
174653,,,4363,4799,,,,,1,,,,,
174656,,,1315,1475,,,,1,,,,,1475,
174656,600,4977.705,1475,3437,,,,,1,,,,,
174658,600,5370.715,1425,4152,,,,,1,,,,,
174660,,,1300,1725,,,,1,,,,,1725,
174660,600,5133.215,1725,2959,,,,,1,,,,,
174675,,,1250,1610,,,,1,,,,,1610,
174675,600,5361.205,1610,3527,,,,,1,,,,,
175472,,,3500.096,3689.973,,,,1,,,,,,
175472,,,3700.098,3786,,,,1,,,,,,
175476,,,2145,2290.055,,,,1,,,,,,
175476,,,2300.072,2490.053,,,,1,,,,,,
175476,,,2500.072,2690.046,,,,1,,,,,,
175476,,,2700.075,2865,,,,1,,,,,,
175477,,,1739,1889.973,,,,1,,,,,,
175477,,,1900.093,2089.973,,,,1,,,,,,
175477,,,2100.098,2289.973,,,,1,,,,,,
175477,,,2300.089,2489.973,,,,1,,,,,,
175477,,,2500.095,2689.973,,,,1,,,,,,
175477,,,2700.082,2889.973,,,,1,,,,,,
175477,,,2900.096,3046,,,,1,,,,,,
175478,,,1722,1889.973,,,,1,,,,,,
175478,,,1900.114,2089.973,,,,1,,,,,,
175478,,,2100.112,2289.973,,,,1,,,,,,
175478,,,2300.074,2489.975,,,,1,,,,,,
175478,,,2500.103,2689.975,,,,1,,,,,,
175478,,,2700.112,2889.973,,,,1,,,,,,
175478,,,2900.111,3041,,,,1,,,,,,
175481,,,3384,3490.074,,,,1,,,,,,
175481,,,3500.113,3690.075,,,,1,,,,,,
175481,,,3700.119,3890.075,,,,1,,,,,,
175481,,,3900.119,4090.075,,,,1,,,,,,
175481,,,4100.121,4126,,,,1,,,,,,
175490,,,800.138,931,,1,,,,,,,,
175490,,,2100,4600,,,,1,,,,,,
175491,,,1185,1722,,,,1,,,,,,
175491,,,2202,4133,,,,1,,,,,,
175499,,,1346,1390.072,,,,1,,,,,,
175499,,,1400.132,1590.073,,,,1,,,,,,
175499,,,1600.131,1790.072,,,,1,,,,,,
175499,,,1800.132,1990.072,,,,1,,,,,,
175499,,,2000.132,2190.072,,,,1,,,,,,
175499,,,2400.245,2403.76,,,,1,,,,,,
175499,,,2413.949,2428.866,,,,1,,,,,,
175499,,,2454.257,2467.767,,,,1,,,,,,
175499,,,2494.251,2506.967,,,,1,,,,,,
175499,,,2534.274,2545.867,,,,1,,,,,,
175499,,,2614.278,2625.269,,,,,1,,,,,
175499,,,2654.258,2664.568,,,,,1,,,,,
175499,,,2694.273,2703.767,,,,,1,,,,,
175500,,,1412,1590.073,,,,1,,,,,,
175500,,,1600.129,1790.073,,,,1,,,,,,
175500,,,1800.132,1990.072,,,,1,,,,,,
175500,,,2000.131,2190.073,,,,1,,,,,,
175500,,,2400.245,2404.065,,,,1,,,,,,
175500,,,2414.339,2429.17,,,,1,,,,,,
175500,,,2454.568,2467.968,,,,1,,,,,,
175500,,,2494.549,2507.167,,,,1,,,,,,
175500,,,2534.549,2545.967,,,,1,,,,,,
175500,,,2614.554,2625.569,,,,,1,,,,,
175500,,,2654.547,2664.769,,,,,1,,,,,
175500,,,2694.551,2704.068,,,,,1,,,,,
175513,600,5349.475,1510,2960,,,,,1,,,,,
175514,,,1340,1475,,,,1,,,,,1475,
175514,600,5354.475,1475,4185,,,,,1,,,,,
175527,1000,5094.215,1500,2500,,,,1,,,,,,
175530,1000,5357.215,1200,1500,,,,1,,,,,,
175539,1000,4132.715,1844,2930,,,,,1,,,,,
175549,,,2014,2090.072,,,,1,,,,,,
175549,,,2090.148,2290.072,,,,1,,,,,,
175549,,,2290.145,2490.072,,,,1,,,,,,
175549,,,2490.16,2690.072,,,,1,,,,,,
175549,,,2690.147,2773,,,,1,,,,,,
175554,,,1940,2090.072,,,,1,,,,,,
175554,,,2100.132,2290.072,,,,1,,,,,,
175554,,,2300.132,2490.071,,,,1,,,,,,
175554,,,2500.131,2690.072,,,,1,,,,,,
175554,,,2700.131,2890.071,,,,1,,,,,,
175554,,,2900.132,3090.071,,,,1,,,,,,
175554,,,3100.133,3290.071,,,,1,,,,,,
175554,,,3300.133,3490.071,,,,1,,,,,,
175554,,,3500.133,3690.072,,,,1,,,,,,
175554,,,3700.133,3890.071,,,,1,,,,,,
175554,,,3900.134,4090.073,,,,1,,,,,,
175554,,,4100.134,4290.072,,,,1,,,,,,
175554,,,4300.133,4402,,,,1,,,,,,
175555,,,1813,1890.071,,,,1,,,,,,
175555,,,1900.074,2090.072,,,,1,,,,,,
175555,,,2100.079,2290.072,,,,1,,,,,,
175555,,,2300.073,2490.071,,,,1,,,,,,
175555,,,2500.071,2690.072,,,,1,,,,,,
175555,,,2700.073,2890.072,,,,1,,,,,,
175555,,,2900.075,3090.072,,,,1,,,,,,
175555,,,3100.075,3290.072,,,,1,,,,,,
175555,,,3300.073,3490.072,,,,1,,,,,,
175555,,,3500.074,3690.071,,,,1,,,,,,
175555,,,3700.075,3890.072,,,,1,,,,,,
175555,,,3900.075,4090.072,,,,1,,,,,,
175555,,,4100.075,4290.073,,,,1,,,,,,
175555,,,4300.073,4308,,,,1,,,,,,
175564,,,1779,1890.071,,,,1,,,,,,
175564,,,1900.134,2090.071,,,,1,,,,,,
175564,,,2100.135,2290.071,,,,1,,,,,,
175564,,,2300.132,2490.071,,,,1,,,,,,
175564,,,2500.134,2690.071,,,,1,,,,,,
175564,,,2700.134,2890.071,,,,1,,,,,,
175564,,,2900.134,3090.071,,,,1,,,,,,
175564,,,3100.134,3290.071,,,,1,,,,,,
175564,,,3300.134,3490.071,,,,1,,,,,,
175564,,,3500.134,3690.071,,,,1,,,,,,
175564,,,3700.134,3890.071,,,,1,,,,,,
175564,,,3900.135,4090.072,,,,1,,,,,,
175564,,,4100.134,4257,,,,1,,,,,,
175567,,,1100.148,1120.061,,,,1,,,,,,
175567,,,1130.145,1150.06,,,,1,,,,,,
175567,,,1160.09,1180.062,,,,1,,,,,,
175567,,,1190.145,1210.062,,,,1,,,,,,
175567,,,1220.13,1240.062,,,,1,,,,,,
175567,,,1250.149,1270.061,,,,1,,,,,,
175567,,,1280.14,1282,,,,1,,,,,,
175591,800,5207.715,3250,4500,,,,1,,,,,,
175592,800,3014.21,298,963,150r,1,,,,,,,,
175598,800,5360.715,810,979,,1,,,,,,,,
175599,800,5356.715,808,979,,1,,,,,,,,
175599,800,5356.715,1500,3500,,,,1,,,,,,
175600,800,5365.215,807,979,,1,,,,,,,,
175600,800,5365.215,1500,3250,,,,1,,,,,,
175658,,,1340,1425,,,,1,,,,,1425,
175826,,,1513.018,2016,,1,,,,,2016,,,
175826,,,2016,3259,,,1,,,,,3259,,
175826,,,3259,3266,,1,,,,,,,,
175827,,,1526,1879,,1,,,,,1879,,,
175827,,,1879,2942,,,1,,,,,2942,,
175827,,,2942,2961,,1,,,,,,,,
175828,,,1526,1855,,1,,,,,1855,,,
175828,,,1855,2947,,,1,,,,,,,
175831,,,514.587,2058,,1,,,,,2058,,,
175831,,,2058,3123,,,1,,,,,3123,,
175831,,,3123,3300,,1,,,,,,,,
175832,,,529,2336,,1,,,,,2336,,,
175832,,,2336,3293,,,1,,,,,3293,,
175832,,,3293,3299,,1,,,,,,,,
175833,,,529,2017,,1,,,,,2017,,,
175833,,,2017,3153,,,1,,,,,3153,,
175833,,,3153,3297,,1,,,,,,,,
175834,,,509,1918,,1,,,,,1918,,,
175834,,,1918,2968,,,1,,,,,2968,,
175834,,,2968,3269,,1,,,,,,,,
175834,,,3800.108,3877,,1,,,,,3877,,,
176404,200,3705.68,1196,2060,,1,,,,,,,,
176975,,,2015,2020.069,,,1,,,,,,,
176975,,,2020.131,5507,,,1,,,,,,,
176994,,,1651,2938.472,,,1,,,,,,,
176994,,,2948.735,3224.772,,,1,,,,,,,
176994,,,3235.034,4392,,,1,,,,,,,
179205,,,1288,1313.975,,,1,,,,,,,
179205,,,1320.24,1353.974,,,1,,,,,,,
179205,,,1360.239,1393.975,,,1,,,,,,,
179205,,,1400.238,4004,,,1,,,,,,,
179209,,,1270,1273.775,,,1,,,,,,,
179209,,,1280.242,1313.974,,,1,,,,,,,
179209,,,1320.239,1354.075,,,1,,,,,,,
179209,,,1360.24,1393.973,,,1,,,,,,,
179209,,,1400.24,4474,,,1,,,,,,,
179211,,,1299,1313.974,,,1,,,,,,,
179211,,,1320.241,1353.974,,,1,,,,,,,
179211,,,1360.238,1393.975,,,1,,,,,,,
179211,,,1400.241,4222,,,1,,,,,,,
179212,,,1262,1274.073,,,1,,,,,,,
179212,,,1280.229,1314.175,,,1,,,,,,,
179212,,,1320.236,1354.174,,,1,,,,,,,
179212,,,1360.24,4412,,,1,,,,,,,
179213,,,1360.242,1392.075,,,1,,,,,,,
179213,,,1400.238,1432.074,,,1,,,,,,,
179213,,,1440.239,1472.075,,,1,,,,,,,
179213,,,1480.239,3681.774,,,1,,,,,,,
179213,,,3691.55,4098,,,1,,,,,,,
179214,,,1382,1394.473,,,1,,,,,,,
179214,,,1400.241,1418.473,,,1,,,,,,,
179214,,,1440.239,1458.473,,,1,,,,,,,
179214,,,1467.339,1525.766,,,1,,,,,,,
179214,,,1536.856,2032.468,,,1,,,,,,,
179214,,,2042.235,4000,,,1,,,,,,,
179216,,,1289,1314.375,,,1,,,,,,,
179216,,,1320.236,1354.373,,,1,,,,,,,
179216,,,1360.234,1394.375,,,1,,,,,,,
179216,,,1400.239,4375,,,1,,,,,,,
179219,,,1281,1313.776,,,1,,,,,,,
179219,,,1320.228,1353.775,,,1,,,,,,,
179219,,,1360.238,1393.776,,,1,,,,,,,
179219,,,1400.216,1433.775,,,1,,,,,,,
179219,,,1440.24,3353.375,,,1,,,,,,,
179219,,,3363.138,4315,,,1,,,,,,,
179220,,,1288,1313.576,,,1,,,,,,,
179220,,,1320.238,1353.576,,,1,,,,,,,
179220,,,1360.241,1393.574,,,1,,,,,,,
