shot,split,role,mirnov_bp_p90,mirnov_bp_median,n_windows
201676,train,active,2.001,0.119,34
201690,val,active,2.847,0.286,34
201693,train,active,2.652,0.404,34
201776,train,active,2.312,0.684,34
201778,train,active,2.098,0.593,34
201781,train,active,2.659,0.784,34
201782,val,active,2.635,0.683,34
201825,val,active,2.330,-0.383,34
201838,train,active,2.728,-0.393,34
201848,val,active,2.600,2.329,16
201896,val,active,2.527,0.658,31
201915,train,active,2.581,0.787,31
201916,val,active,2.723,1.165,31
201932,val,active,2.278,0.496,31
201933,train,active,1.931,-0.743,31
202757,train,active,1.194,0.805,33
202776,train,active,2.433,-0.781,33
202778,val,active,2.452,-0.670,33
202780,train,active,2.400,0.204,33
202823,train,active,2.201,0.455,33
202845,train,active,1.397,0.419,33
202848,train,active,1.325,0.523,33
202854,train,active,2.050,-1.424,33
203046,val,quiet,-2.467,-2.493,17
203256,val,active,2.048,-0.546,34
203467,train,active,2.553,-1.109,29
203539,train,active,1.589,0.369,29
203540,train,active,1.202,0.479,29
203662,train,active,1.439,0.311,29
203891,train,active,1.347,0.557,29
203899,train,active,1.794,0.386,29
203901,train,active,1.415,0.356,29
203936,train,active,1.268,0.948,29
204045,val,active,3.339,0.417,29
204099,train,quiet,-2.552,-2.594,16
204124,val,active,2.354,0.120,33
204125,train,active,2.565,0.004,33
204168,train,active,1.226,0.852,33
204229,train,active,3.017,1.982,13
204231,val,active,3.016,2.994,13
204250,train,active,1.731,-0.620,13
204303,train,active,1.207,0.279,25
204353,train,active,1.369,0.260,29
204436,train,active,1.582,-2.210,29
204449,val,active,2.047,0.480,29
204546,train,active,1.390,-0.210,16
204672,train,active,1.220,0.412,35
204714,train,active,1.219,0.469,35
204718,train,active,1.186,0.662,35
204794,val,active,3.148,0.934,31
204798,val,active,2.639,-1.998,31
204846,val,active,2.742,0.968,31
204849,train,active,1.310,1.019,31
204854,train,active,2.550,0.821,31
204880,train,active,2.812,1.079,31
204886,train,active,1.689,0.060,31
204898,val,active,2.061,0.228,14
204960,val,active,2.877,1.056,26
204969,val,active,2.666,1.343,26
204975,val,active,2.273,0.952,26
204978,val,active,2.431,0.943,26
204982,train,active,1.186,0.695,26
204983,train,active,1.226,0.582,26
204993,train,active,2.359,1.258,26
